geoid,name,B19058001,"B19058001, Error",B19058002,"B19058002, Error",B19058003,"B19058003, Error"
04000US37,North Carolina,4186924,10494,552950,5373,3633974,12047
05000US37001,"Alamance County, NC",68441,675,9602,720,58839,926
05000US37003,"Alexander County, NC",13895,293,1385,281,12510,383
05000US37005,"Alleghany County, NC",5049,242,594,168,4455,282
05000US37007,"Anson County, NC",8314,350,2627,312,5687,368
05000US37009,"Ashe County, NC",11999,521,1675,272,10324,469
05000US37011,"Avery County, NC",6559,344,745,177,5814,366
05000US37013,"Beaufort County, NC",19103,475,2853,384,16250,530
05000US37015,"Bertie County, NC",7024,322,1943,266,5081,377
05000US37017,"Bladen County, NC",11635,406,3274,360,8361,427
05000US37019,"Brunswick County, NC",64436,942,6455,685,57981,957
05000US37021,"Buncombe County, NC",102672,1818,10133,755,92539,1799
05000US37023,"Burke County, NC",35873,506,5824,687,30049,698
05000US37025,"Cabarrus County, NC",80370,1094,8649,797,71721,1286
05000US37027,"Caldwell County, NC",32766,534,4311,544,28455,675
05000US37029,"Camden County, NC",3948,143,445,156,3503,211
05000US37031,"Carteret County, NC",31198,604,3073,404,28125,722
05000US37033,"Caswell County, NC",8677,323,1672,309,7005,424
05000US37035,"Catawba County, NC",65201,580,8441,629,56760,883
05000US37037,"Chatham County, NC",32253,379,2156,436,30097,529
05000US37039,"Cherokee County, NC",13042,396,1450,202,11592,444
05000US37041,"Chowan County, NC",5989,253,1374,267,4615,299
05000US37043,"Clay County, NC",5041,275,597,175,4444,267
05000US37045,"Cleveland County, NC",37218,633,7588,748,29630,764
05000US37047,"Columbus County, NC",19227,415,4362,425,14865,487
05000US37049,"Craven County, NC",41472,606,5675,562,35797,764
05000US37051,"Cumberland County, NC",128118,643,24996,974,103122,1104
05000US37053,"Currituck County, NC",11497,281,671,178,10826,328
05000US37055,"Dare County, NC",16483,769,952,263,15531,771
05000US37057,"Davidson County, NC",68512,656,9553,792,58959,972
05000US37059,"Davie County, NC",16873,393,1826,329,15047,447
05000US37061,"Duplin County, NC",20096,420,3546,526,16550,569
05000US37063,"Durham County, NC",138502,984,14011,956,124491,1351
05000US37065,"Edgecombe County, NC",19533,400,4830,458,14703,463
05000US37067,"Forsyth County, NC",155743,1119,21732,1342,134011,1564
05000US37069,"Franklin County, NC",27442,512,3892,407,23550,566
05000US37071,"Gaston County, NC",92287,692,15242,721,77045,984
05000US37073,"Gates County, NC",4219,176,569,158,3650,218
05000US37075,"Graham County, NC",3312,218,412,128,2900,251
05000US37077,"Granville County, NC",22176,484,2888,414,19288,627
05000US37079,"Greene County, NC",6831,230,1576,243,5255,271
05000US37081,"Guilford County, NC",215807,1189,34074,1405,181733,1673
05000US37083,"Halifax County, NC",20269,496,6048,482,14221,570
